2000	.0044777272	.0028729090
4000	.0598683636	.0113153636
6000	.2308187272	.0254113636
8000	.5175722727	.0460519090
10000	.8486468181	.0703879090
12000	1.3552825454	.1014721818
14000	1.8501600909	.1376776363
16000	2.7175863636	.1804709090
18000	3.2524571818	.2438771818
20000	3.9004637272	.2825521818
