256	.0329590000   16943105    17155	.0111896363	   2190907    25380
512	.8575740000   134877469    66403	.0916940578	   17143195    99236
768	1.0617750909   457119682    148421	.3115762779	   57443254    222244
1024	7.0576597355   1078732644    263205	.7526849343	   135669984    394407
1280	5.3595765214   2116017282    410757	1.5222452667	   264413752    615719
1536	22.4713071383   3640421832    591077	2.7823801151	   456354462    886184
1792	16.2518232853   5806040084    804165	4.4697796468	   732113846    1205800
2048	63.3578024804   8665908823    1050021	6.7180676951	   1139258335    1574568
