256		17540498		1099610		6181244		68669		17302856		1099270		4212230		61163
512		143646890		17030533		63606146		335754		139676391		17084191		48974612		373030
768		500529377		29036515		178695273		900655		480040988		29314860		118796681		1133238
1024		1213614866		1614896		741696705		1873972		1149243471		2433679		641788825		2554390
1280		2446107050		135094809		890750171		3332760		2288004870		137871090		581055699		4804826
1536		4326881174		460087563		1934607855		5389964		3999404601		465399155		1428018134		8109307
1792		7065413457		371792648		2622903041		9847823		6453996999		381489430		1685184991		16056865
2048		10777039702		18996211		3244200648		15854086		9735450393		34815842		1645222266		26958963
