1000	7772836	1300926	6718269	1300926	
1500	17486878	2934577	15113316	2934577	
2000	31087345	5224524	26868872	5224524	
2500	48577852	8170354	41985193	8170355	
3000	69920146	11774549	60428342	11774550	
3500	95142254	16034362	82221134	16034363	
4000	124222877	20951495	107348376	20951495	
