1000	3485772	313283	2472134	313283	
1500	7835961	702875	5554504	702875	
2000	13924247	1248338	9869632	1248338	
2500	21754282	1949549	15417677	1949549	
3000	31321392	2806742	22198440	2806742	
3500	42631060	3819682	30211979	3819682	
4000	55676964	4988506	39458348	4988506	
