1000	1331566	226966	324731	226966	
1500	2965131	497357	699016	497357	
2000	5308127	904035	1285189	904035	
2500	8255806	1392263	1961875	1392263	
3000	11947046	2032632	2885572	2032632	
3500	16200182	2738693	3864805	2738693	
4000	21234940	3612470	5125637	3612470	
